net,length_um
net26,56.92µm
net1,56.055µm
net30,54.66µm
_045_,47.86µm
_044_,45.24µm
outputs[4],42.59µm
net40,38.36µm
net34,37.8µm
net49,37.6µm
net63,36.99µm
net59,36.7µm
net28,34.26µm
net38,33.9µm
_035_,30.96µm
_031_,30.78µm
net12,30.1µm
_027_,29.7µm
_016_,29.66µm
_048_,28.36µm
net42,27.74µm
_041_,27.2µm
inputs[3],26.83µm
inputs[28],25.91µm
_002_,25.64µm
_032_,24.12µm
_042_,23.84µm
net36,23.34µm
outputs[10],22.78µm
_019_,22.58µm
_029_,22.5µm
_013_,22.34µm
net14,22.22µm
outputs[1],22.17µm
inputs[0],21.45µm
net23,21.12µm
_047_,21.04µm
net27,19.63µm
_040_,19µm
net41,18.62µm
outputs[3],18.27µm
_033_,18.24µm
net4,17.94µm
_000_,16.78µm
_046_,16.64µm
inputs[9],16.37µm
inputs[17],15.71µm
net29,15.69µm
_003_,15.68µm
net3,15.6µm
net5,15.14µm
net46,14.72µm
_036_,14.4µm
inputs[10],14.3µm
net2,14.26µm
net6,13.72µm
net45,13.56µm
_009_,13.38µm
_028_,13.14µm
_006_,12.98µm
_038_,12.74µm
_011_,12.6µm
outputs[12],12.38µm
net32,11.8µm
inputs[11],11.68µm
inputs[13],11.68µm
inputs[29],11.68µm
outputs[8],11.46µm
net21,11.28µm
inputs[8],11.17µm
outputs[11],11µm
outputs[13],11µm
outputs[14],11µm
outputs[15],11µm
outputs[6],11µm
net43,10.8µm
inputs[15],10.76µm
inputs[7],10.76µm
inputs[4],10.69µm
net53,10.66µm
inputs[26],10.56µm
outputs[7],10.54µm
inputs[2],10.53µm
net60,10.42µm
net51,10.28µm
_018_,10.13µm
outputs[0],10.11µm
outputs[9],10.08µm
_037_,10.04µm
_021_,9.84µm
inputs[14],9.64µm
inputs[22],9.64µm
inputs[30],9.64µm
_030_,9.52µm
net16,9.4µm
inputs[20],9.37µm
inputs[5],9.37µm
_001_,9.32µm
inputs[24],9.07µm
inputs[21],9.03µm
outputs[22],8.96µm
inputs[6],8.84µm
inputs[18],8.72µm
outputs[16],8.5µm
outputs[18],8.5µm
outputs[20],8.5µm
outputs[21],8.5µm
net44,8.16µm
inputs[16],8.13µm
outputs[23],8.01µm
_008_,7.94µm
net56,7.64µm
inputs[1],7.61µm
_010_,7.48µm
net31,7.28µm
inputs[31],7.21µm
_005_,7.18µm
net50,7.16µm
net55,7.16µm
net35,7.1µm
net37,7.1µm
_014_,6.6µm
_034_,6.6µm
net62,6.6µm
net48,6.52µm
outputs[29],6.45µm
_025_,6.3µm
net20,6.3µm
_007_,6.26µm
net52,6.14µm
_020_,5.82µm
net11,5.74µm
_004_,5.68µm
net33,5.68µm
inputs[25],5.63µm
inputs[27],5.51µm
_012_,5.44µm
inputs[12],5.29µm
outputs[26],5.29µm
outputs[30],5.29µm
net47,5.26µm
net64,5.26µm
inputs[23],5.17µm
net9,5.14µm
outputs[2],5.07µm
_015_,4.76µm
outputs[19],4.61µm
outputs[27],4.61µm
net7,4.46µm
outputs[5],4.39µm
outputs[25],4.27µm
outputs[31],4.27µm
outputs[17],3.93µm
outputs[24],3.93µm
outputs[28],3.93µm
net39,3.88µm
net57,3.88µm
net61,3.88µm
_023_,3.54µm
_017_,3.52µm
inputs[19],3.47µm
net18,2.96µm
net25,2.96µm
net54,2.96µm
net19,2.52µm
_024_,2.5µm
net8,2.5µm
net15,2.5µm
net24,2.5µm
_026_,2.18µm
net13,2.16µm
_043_,2.04µm
net10,2.04µm
net22,2.04µm
net17,1.7µm
_022_,1.26µm
_039_,1.26µm
net58,1.14µm
